Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,0s,4s,6s
A Ranatunga (SL),1983-1999,30,29,8,969,88*,46.14,1197,80.95,-,7,3,99,7
Mahmudullah (BAN),2011-2023,25,22,4,944,128*,52.44,1113,84.81,3,3,-,74,25
F du Plessis (SA),2011-2019,23,21,5,926,109,57.87,1070,86.54,2,7,-,74,11
Saeed Anwar (PAK),1996-2003,21,21,4,915,113*,53.82,1157,79.08,3,3,-,90,6
SB Styris (NZ),2003-2011,26,22,5,909,141,53.47,1026,88.59,2,6,1,69,17
GJ Maxwell (AUS),2015-2023,27,25,6,901,201*,47.42,562,160.32,3,2,2,94,43
GA Gooch (ENG),1979-1992,21,21,1,897,115,44.85,1418,63.25,1,8,1,80,4
MJ Clarke (AUS),2007-2015,25,21,7,888,93*,63.42,943,94.16,-,8,-,85,11
MD Crowe (NZ),1983-1992,21,21,5,880,100*,55,1053,83.57,1,8,1,82,7
R Dravid (IND),1999-2007,22,21,7,860,145,61.42,1147,74.97,2,6,-,76,3
DL Haynes (WI),1979-1992,25,25,2,854,105,37.13,1485,57.5,1,3,-,67+,4+
V Sehwag (IND),2003-2011,22,22,-,843,175,38.31,794,106.17,2,3,1,108,18
HM Amla (SA),2011-2019,22,22,2,842,159,42.1,1012,83.2,2,5,-,76,6
M Azharuddin (IND),1987-1999,30,25,4,826,93,39.33,1066,77.48,-,8,2,69,5
DA Miller (SA),2015-2023,24,21,4,816,138*,48,720,113.33,2,1,1,54,35
DC Boon (AUS),1987-1992,16,16,1,815,100,54.33,1117,72.96,2,5,-,72,5
A Flower (ZIM),1992-2003,30,29,4,815,115*,32.6,1195,68.2,1,4,2,63,3
KL Rahul (IND),2019-2023,20,19,5,813,111,58.07,964,84.33,2,4,1,69,14
G Kirsten (SA),1996-2003,21,21,4,806,188*,47.41,1068,75.46,1,5,2,79,7
Babar Azam (PAK),2019-2023,17,17,2,794,101*,52.93,926,85.74,1,7,-,82,6
AJ Finch (AUS),2015-2019,18,18,-,787,153,43.72,801,98.25,3,4,2,73,24
MS Dhoni (IND),2007-2019,29,25,7,780,91*,43.33,867,89.96,-,5,2,59,15
BA Stokes (ENG),2019-2023,17,16,3,769,108,59.15,840,91.54,1,7,1,64,22
SO Tikolo (KENYA),1996-2011,28,27,1,768,96,29.53,1128,68.08,-,8,1,78,10
HE van der Dussen (SA),2019-2023,19,16,2,759,133,54.21,874,86.84,2,5,-,53,18
GC Smith (SA),2003-2011,20,20,1,747,91,39.31,865,86.35,-,6,-,84,6
JM Bairstow (ENG),2019-2023,20,20,-,747,111,37.35,816,91.54,2,4,3,94,14
BB McCullum (NZ),2003-2015,34,27,5,742,101,33.72,614,120.84,1,6,2,77,29
RR Sarwan (WI),2003-2011,21,20,4,739,92,46.18,974,75.87,-,3,-,71,10
Yuvraj Singh (IND),2003-2011,23,21,7,738,113,52.71,817,90.33,1,7,2,68,13
IR Bell (ENG),2007-2015,21,21,1,718,81,35.9,995,72.16,-,6,1,62,2
Tamim Iqbal (BAN),2007-2019,29,29,-,718,95,24.75,982,73.11,-,4,3,83,4
Inzamam-ul-Haq (PAK),1992-2007,35,33,3,717,81,23.9,961,74.6,-,4,4,54,7
Ramiz Raja (PAK),1987-1996,16,16,3,700,119*,53.84,1092,64.1,3,2,-,50,0
WU Tharanga (SL),2007-2015,21,21,2,697,133,36.68,923,75.51,2,4,1,79,4
BRM Taylor (ZIM),2007-2015,15,15,-,690,138,46,778,88.68,2,3,1,68,14
EJG Morgan (ENG/IRE),2007-2019,29,27,1,672,148,25.84,792,84.84,1,3,4,56,26
N Kapil Dev (IND),1979-1992,26,24,6,669,175*,37.16,581,115.14,1,1,-,54+,14+
Imran Khan (PAK),1975-1992,28,24,5,666,102*,35.05,1014,65.68,1,4,2,55,8
AJ Lamb (ENG),1983-1992,19,17,4,656,102,50.46,780,84.1,1,3,-,52,8
SR Watson (AUS),2007-2015,22,19,7,643,94,53.58,595,108.06,-,6,1,67,17
RB Richardson (WI),1987-1996,20,20,3,639,110,37.58,1016,62.89,1,4,1,52,6
GA Hick (ENG),1992-1999,20,19,4,635,104*,42.33,858,74,1,6,2,53,6
WTS Porterfield (IRE),2007-2015,21,21,-,627,107,29.85,1058,59.26,1,4,3,50,4
NJ O'Brien (IRE),2007-2015,21,21,2,620,79*,32.63,827,74.96,-,5,1,57,6
GM Turner (NZ),1975-1983,14,14,4,612,171*,61.2,956,64.01,2,2,-,61+,2+
AJ Stewart (ENG),1992-2003,25,22,1,606,88,28.85,985,61.52,-,4,2,58,2
Misbah-ul-Haq (PAK),2011-2015,15,13,1,598,83*,49.83,802,74.56,-,7,1,38,10
Aamer Sohail (PAK),1992-1996,16,16,-,598,114,37.37,847,70.6,2,4,1,67,1
Zaheer Abbas (PAK),1975-1983,14,14,2,597,103*,49.75,762,78.34,1,4,2,55,4
RS Mahanama (SL),1987-1999,25,21,3,596,89,33.11,1054,56.54,-,5,1,54,1
CG Greenidge (WI),1975-1983,15,15,2,591,106*,45.46,999,59.15,2,4,-,44+,5+
Saleem Malik (PAK),1987-1999,27,23,5,591,100,32.83,715,82.65,1,4,2,52,0
JC Buttler (ENG),2015-2023,26,23,1,591,103,26.86,500,118.2,1,3,-,50,15
DM Jones (AUS),1987-1992,16,16,2,590,90,42.14,811,72.74,-,5,-,27,12
AD Mathews (SL),2011-2023,27,21,3,584,113,32.44,699,83.54,1,2,4,45,13
GR Marsh (AUS),1987-1992,13,13,1,579,126*,48.25,987,58.66,2,2,-,43,5
R Ravindra (NZ),2023-2023,10,10,1,578,123*,64.22,543,106.44,3,2,-,55,17
KP Pietersen (ENG),2007-2011,13,13,1,575,104,47.91,684,84.06,2,4,-,53,7
EC Joyce (ENG/IRE),2007-2015,17,17,-,574,112,33.76,735,78.09,1,4,2,55,7
Rahmat Shah (AFG),2019-2023,18,18,1,574,77*,33.76,809,70.95,-,4,1,59,3
AC Hudson (SA),1992-1996,12,12,-,571,161,47.58,738,77.37,1,4,-,64,4
DL Houghton (ZIM),1983-1992,20,19,-,567,142,29.84,900,63,1,4,3,47,8
CL Cairns (NZ),1992-2003,28,24,7,565,60,33.23,684,82.6,-,3,1,41,16
SM Gavaskar (IND),1975-1987,19,19,3,561,103*,35.06,978,57.36,1,4,1,60+,4+
DJ Mitchell (NZ),2023-2023,10,9,1,552,134,69,497,111.06,2,2,-,48,22
AK Markram (SA),2019-2023,18,16,1,546,106,36.4,552,98.91,1,3,-,61,10
S Dhawan (IND),2015-2019,10,10,-,537,137,53.7,570,94.21,3,1,-,65,9
MG Bevan (AUS),1996-2003,26,18,6,537,74*,44.75,834,64.38,-,5,1,35,5
SS Iyer (IND),2023-2023,11,11,3,530,128*,66.25,468,113.24,2,3,1,37,24
A Jadeja (IND),1992-1999,21,18,3,522,100*,34.8,727,71.8,1,2,1,39,9
MS Atapattu (SL),1999-2003,15,15,3,521,124,43.41,657,79.29,2,3,1,62,0
K Srikkanth (IND),1983-1992,23,23,1,521,75,23.68,762,68.37,-,2,4,62+,4+
Ijaz Ahmed (PAK),1987-1999,29,26,4,516,70,23.45,717,71.96,-,4,5,40,5
A Symonds (AUS),2003-2007,18,13,8,515,143*,103,552,93.29,1,3,1,51,10
GW Flower (ZIM),1996-2003,21,20,2,512,78*,28.44,895,57.2,-,1,-,44+,2+
Hashmatullah Shahidi (AFG),2019-2023,17,17,3,507,80,36.21,773,65.58,-,5,1,45,4
CD McMillan (NZ),1999-2007,25,24,2,506,75,23,719,70.37,-,2,1,43,12
RD Shah (KENYA),1999-2007,17,17,-,500,71,29.41,820,60.97,-,4,1,60,2
KJ O'Brien (IRE),2007-2015,20,20,2,499,113,27.72,552,90.39,1,1,1,48,17
RG Twose (NZ),1996-1999,15,15,5,493,92,49.3,663,74.35,-,4,1,41,4
JG Wright (NZ),1979-1992,18,18,-,493,69,27.38,862,57.19,-,3,2,49+,2+
SC Williams (ZIM),2007-2015,11,11,2,492,96,54.66,486,101.23,-,5,-,42,8
AP Gurusinha (SL),1987-1996,18,17,-,488,87,28.7,789,61.85,-,3,1,34,13
Mohammad Hafeez (PAK),2007-2019,18,18,1,483,84,28.41,584,82.7,-,2,-,57,6
AC Waller (ZIM),1987-1996,20,20,3,479,83*,28.17,664,72.13,-,2,1,45,7
WJ Cronje (SA),1992-1999,23,20,4,476,78,29.75,591,80.54,-,2,2,33,8
PD Collingwood (ENG),2003-2011,18,18,6,474,90,39.5,604,78.47,-,3,-,37,6
MR Marsh (AUS),2015-2023,13,13,1,472,177*,39.33,441,107.02,2,1,3,46,21
DJ Cullinan (SA),1996-1999,15,15,3,471,69,39.25,696,67.67,-,3,1,37,6
Litton Das (BAN),2019-2023,14,14,1,468,94*,36,521,89.82,-,3,1,48,10
Imam-ul-Haq (PAK),2019-2023,14,14,-,467,100,33.35,580,80.51,1,2,-,54,1
TM Odoyo (KENYA),1996-2011,25,23,4,463,51,24.36,680,68.08,-,1,3,46,10
MN Samuels (WI),2003-2015,16,16,2,460,133*,32.85,600,76.66,1,2,1,42,12
BJ Haddin (AUS),2011-2015,15,11,2,458,88,50.88,501,91.41,-,4,-,56,9
JP Duminy (SA),2011-2019,18,16,3,458,115*,35.23,461,99.34,1,1,1,31,9
NS Sidhu (IND),1987-1996,12,10,-,454,93,45.4,576,78.81,-,6,-,31,10
MO Odumbe (KENYA),1996-2003,19,18,3,452,82,30.13,618,73.13,-,3,2,35,2
AR Border (AUS),1979-1992,25,24,-,452,67,18.83,640,70.62,-,1,2,39,0
MDKJ Perera (SL),2015-2023,16,16,-,449,78,28.06,416,107.93,-,5,1,59,5
HDRL Thirimanne (SL),2015-2019,12,12,2,445,139*,44.5,519,85.74,1,3,1,40,2
JJ Roy (ENG),2019-2019,8,7,-,443,153,63.28,384,115.36,1,4,-,51,12
MW Gatting (ENG),1983-1987,15,13,2,437,60,39.72,502,87.05,-,3,-,31,2
BKG Mendis (SL),2019-2023,16,16,-,437,122,27.31,471,92.78,1,1,1,35,17
RN ten Doeschate (NED),2007-2011,9,9,2,435,119,62.14,492,88.41,2,3,-,47,7
DI Gower (ENG),1979-1983,12,11,3,434,130,54.25,527,82.35,1,1,1,42,9
CZ Harris (NZ),1992-2003,28,20,5,431,130,28.73,626,68.84,1,-,-,30,4
NH Fairbrother (ENG),1992-1999,19,15,5,430,75*,43,676,63.6,-,3,-,22,2
LPC Silva (SL),2007-2011,18,14,2,427,64,35.58,562,75.97,-,5,-,36,4
KO Otieno (KENYA),1996-2003,20,19,-,427,85,22.47,818,52.2,-,4,3,40,6
Wasim Akram (PAK),1987-2003,38,30,8,426,43,19.36,421,101.18,-,-,3,36,11
IJL Trott (ENG),2011-2011,7,7,-,422,92,60.28,522,80.84,-,5,-,28,0
AJ Strauss (ENG),2007-2011,11,11,-,417,158,37.9,483,86.33,1,1,1,39,5
KR Rutherford (NZ),1987-1992,14,12,2,416,75,41.6,587,70.86,-,4,-,36,7
AH Jones (NZ),1987-1992,13,13,2,416,78,37.81,673,61.81,-,4,1,44,0
LRD Mendis (SL),1975-1987,16,16,2,412,64,29.42,591,69.71,-,3,1,37,4
PN Kirsten (SA),1992-1992,8,8,2,410,90,68.33,616,66.55,-,4,-,28,2
Fakhar Zaman (PAK),2019-2023,12,12,1,406,126*,36.9,406,100,1,2,2,38,21
